ID,Experience_Years,Age,Gender,Salary,ID,Dept_name,location,travel_required
1,5,28,Female,250000,1,HR,Pune,yes
2,1,21,Male,50000,2,Finance,Bangalore,no
3,3,23,Female,170000,3,Finance,Bangalore,no
4,2,22,Male,25000,4,Finance,Pune,no
5,1,17,Male,10000,5,Tech,Mumbai,no
6,25,62,Male,5001000,6,Tech,Pune,no
7,19,54,Female,800000,7,Tech,Bangalore,yes
8,2,21,Female,9000,8,HR,Bangalore,no
9,10,36,Female,61500,9,HR,Pune,no
10,15,54,Female,650000,10,HR,Pune,no
11,4,26,Female,250000,11,HR,Mumbai,no
12,6,29,Male,1400000,12,HR,Mumbai,yes
13,14,39,Male,6000050,13,Finance,Bangalore,yes
14,11,40,Male,220100,14,Tech,Bangalore,yes
15,2,23,Male,7500,15,Tech,Mumbai,yes
16,4,27,Female,87000,16,Tech,Pune,yes
17,10,34,Female,930000,17,Tech,Bangalore,no
18,15,54,Female,7900000,18,Finance,Mumbai,no
19,2,21,Male,15000,19,HR,Mumbai,no
20,10,36,Male,330000,20,Finance,Bangalore,no
21,15,54,Male,6570000,21,Tech,Mumbai,no
22,4,26,Male,25000,22,Tech,Mumbai,yes
23,5,29,Male,6845000,23,Tech,Mumbai,no
24,1,21,Female,6000,24,Tech,Pune,yes
25,4,23,Female,8900,25,Finance,Pune,yes
26,3,22,Female,20000,26,HR,Pune,no
27,1,18,Male,3000,27,HR,Bangalore,no
28,27,62,Female,10000000,28,HR,Bangalore,no
29,19,54,Female,5000000,29,Finance,Bangalore,no
30,2,21,Female,6100,30,Finance,Mumbai,no
31,10,34,Male,80000,31,Tech,Mumbai,no
32,15,54,Male,900000,32,Tech,Pune,yes
33,20,55,Female,1540000,33,HR,Mumbai,yes
34,19,53,Female,9300000,34,HR,Bangalore,yes
35,16,49,Male,7600000,35,Tech,Bangalore,no
